globalresponsibility.generalmills.com,UnitedStates,$1b+,$10000+,"20,000+","10,000+"
ppi.worldbank.org,UnitedStates,,$10000+,"2,000,000+",100+
lssendy.wgbh.org,UnitedStates,,$5000+,"20,000+",
boletin.guatemala.com,Guatemala,,$500+,"1,000+",1+
schoolfunding.phila.gov,UnitedStates,,$2000+,"2,000+",
sendy.giftster.com,UnitedStates,,$500+,100+,
sendy.piktochart.com,UnitedKingdom,,$2000+,"2,000+",10+
newsletter.filehorse.com,,,$500+,"1,000+",
sendy.wordmagicsoft.com,UnitedStates,,$500+,250+,
dev.cases.backend.petstablished.com,UnitedStates,,$1000+,500+,
mailoutreach.puretalkusa.com,UnitedStates,,$5000+,,100+
leads.plymouthrock.com,UnitedStates,,$5000+,"1,000+",
info.funcom.com,Norway,,$5000+,"10,000+",100+
wesleyan.edu,UnitedStates,,$5000+,"10,000+","1,000+"
sendy.publicdomainreview.org,UnitedStates,$353k+,$500+,"20,000+",
x2vol.com,,,$1000+,,
sendy.yoworld.com,Canada,,$500+,,
sendy.pdfrun.com,UnitedStates,,$250+,,
sendy.guardian.ng,UnitedKingdom,,$1000+,"1,500,000+",
sendy.gofar.co,Australia,,$2000+,250+,1+
prepbaseballreport.com,UnitedStates,$414k+,$500+,"20,000+",
samplesinyourmail.com.getfreesampleswithoutsurveys.com,,,$100+,,
sendy.pakwheels.com,Pakistan,,$1000+,"5,000+",
newsletters.youthkiawaaz.com,,,$500+,"50,000+",
sendy.wikem.org,,,$500+,"1,000+",
sendy.playposit.com,UnitedStates,,$1000+,"5,000+",
newsletter.ponoko.com,NewZealand,,$1000+,,
sesmail.pildorasdefe.net,UnitedStates,,$100+,"150,000+",
opera.wolftrap.org,UnitedStates,,$2000+,"2,000+",
gulfcoast.edu,UnitedStates,,$500+,"1,000+",
news.paprikaapp.com,UnitedStates,,$500+,"1,000+",
sendy.printmoz.com,UnitedStates,$1k+,$100+,,
sendy.gopaperless.com,UnitedStates,,$1000+,,
sendy.pixelbuddha.net,,,$0+,"1,000+",
sendy.financetrain.com,UnitedStates,,$100+,250+,
precast.org,UnitedStates,,$1000+,"5,000+",
sendy.worldofwalt.com,UnitedStates,$1k+,$10+,"2,000+",
newsletter.paymoapp.com,UnitedStates,,$1000+,"1,000+",
preterhuman.net,Canada,,$50+,,
fredperry.com,UnitedKingdom,$523k+,$5000+,"20,000+",100+
