globalresponsibility.generalmills.com,UnitedStates,$1b+,$10000+,"20,000+","10,000+",Medium
ppi.worldbank.org,UnitedStates,,$10000+,"2,000,000+",100+,VeryHigh
lssendy.wgbh.org,UnitedStates,,$5000+,"20,000+",,High
boletin.guatemala.com,Guatemala,,$500+,"1,000+",1+,Medium
schoolfunding.phila.gov,UnitedStates,,$2000+,"2,000+",,VeryHigh
sendy.giftster.com,UnitedStates,,$500+,100+,,High
sendy.piktochart.com,UnitedKingdom,,$2000+,"2,000+",10+,VeryHigh
newsletter.filehorse.com,,,$500+,"1,000+",,Medium
sendy.wordmagicsoft.com,UnitedStates,,$500+,250+,,Medium
dev.cases.backend.petstablished.com,UnitedStates,,$1000+,500+,,-
mailoutreach.puretalkusa.com,UnitedStates,,$5000+,,100+,Medium
leads.plymouthrock.com,UnitedStates,,$5000+,"1,000+",,-
info.funcom.com,Norway,,$5000+,"10,000+",100+,Medium
wesleyan.edu,UnitedStates,,$5000+,"10,000+","1,000+",VeryHigh
sendy.publicdomainreview.org,UnitedStates,$353k+,$500+,"20,000+",,High
x2vol.com,,,$1000+,,,-
sendy.yoworld.com,Canada,,$500+,,,-
sendy.pdfrun.com,UnitedStates,,$250+,,,-
sendy.guardian.ng,UnitedKingdom,,$1000+,"1,500,000+",,VeryHigh
sendy.gofar.co,Australia,,$2000+,250+,1+,Medium
prepbaseballreport.com,UnitedStates,$414k+,$500+,"20,000+",,High
samplesinyourmail.com.getfreesampleswithoutsurveys.com,,,$100+,,,-
sendy.pakwheels.com,Pakistan,,$1000+,"5,000+",,High
newsletters.youthkiawaaz.com,,,$500+,"50,000+",,High
sendy.wikem.org,,,$500+,"1,000+",,High
sendy.playposit.com,UnitedStates,,$1000+,"5,000+",,High
newsletter.ponoko.com,NewZealand,,$1000+,,,Medium
sesmail.pildorasdefe.net,UnitedStates,,$100+,"150,000+",,Medium
opera.wolftrap.org,UnitedStates,,$2000+,"2,000+",,Medium
gulfcoast.edu,UnitedStates,,$500+,"1,000+",,Medium
news.paprikaapp.com,UnitedStates,,$500+,"1,000+",,High
sendy.printmoz.com,UnitedStates,$1k+,$100+,,,-
sendy.gopaperless.com,UnitedStates,,$1000+,,,-
sendy.pixelbuddha.net,,,$0+,"1,000+",,Medium
sendy.financetrain.com,UnitedStates,,$100+,250+,,-
precast.org,UnitedStates,,$1000+,"5,000+",,Medium
sendy.worldofwalt.com,UnitedStates,$1k+,$10+,"2,000+",,-
newsletter.paymoapp.com,UnitedStates,,$1000+,"1,000+",,High
preterhuman.net,Canada,,$50+,,,High
fredperry.com,UnitedKingdom,$523k+,$5000+,"20,000+",100+,Medium
